date,revenue,leads,orders,channel,campaign,product
2024-01-01,1250.50,120,24,Email,Winter Blast,Analytics Suite
2024-01-02,980.00,90,18,Email,Winter Blast,Analytics Suite
2024-01-03,1420.75,150,30,Ads,Search 2024,Marketing Hub
2024-01-04,1110.25,80,16,Ads,Retargeting,Analytics Suite
2024-01-05,1675.00,200,40,Direct,Website,Marketing Hub
2024-01-06,890.30,75,15,Partners,Agency,Analytics Suite
2024-01-07,2100.90,220,44,Ads,Search 2024,Analytics Suite
2024-01-08,1345.10,140,28,Email,New Leads,Marketing Hub
2024-01-09,1560.00,160,32,Direct,Website,Analytics Suite
2024-01-10,1025.75,95,19,Partners,Agency,Marketing Hub
